,time,tempV,tempM,tempBi,tempBa,tempS,humV,humM,humBi,humBa,humS,cldV,cldM,cldBi,cldBa,cldS,wndV,wndM,wndBi,wndBa,wndS
0,2015-01-01 00:00:00+01:00,270.475,267.325,269.6573125,281.625,273.375,77,63,97,100,75,0,0,0,0,0,1,1,0,7,1
1,2015-01-01 01:00:00+01:00,270.475,267.325,269.7635,281.625,273.375,77,63,97,100,75,0,0,0,0,0,1,1,0,7,1
2,2015-01-01 02:00:00+01:00,269.686,266.186,269.2516875,281.286,274.086,78,64,97,100,71,0,0,0,0,0,0,1,1,7,3
3,2015-01-01 03:00:00+01:00,269.686,266.186,269.20334375,281.286,274.086,78,64,97,100,71,0,0,0,0,0,0,1,1,7,3
4,2015-01-01 04:00:00+01:00,269.686,266.186,269.4855,281.286,274.086,78,64,97,100,71,0,0,0,0,0,0,1,1,7,3
5,2015-01-01 05:00:00+01:00,270.29200000000003,265.442,269.327,280.467,274.592,71,64,97,100,81,0,0,0,0,0,2,0,1,5,4
6,2015-01-01 06:00:00+01:00,270.29200000000003,265.442,269.499,280.467,274.592,71,64,97,100,81,0,0,0,0,0,2,0,1,5,4
7,2015-01-01 07:00:00+01:00,270.29200000000003,265.442,270.94,280.467,274.592,71,64,95,100,81,0,0,0,0,0,2,0,1,5,4
8,2015-01-01 08:00:00+01:00,274.601,268.276,270.689,280.751,275.651,71,66,96,100,73,0,0,0,0,0,1,1,1,2,2
9,2015-01-01 09:00:00+01:00,274.601,268.276,271.707,280.751,275.651,71,66,95,100,73,0,0,0,0,0,1,1,1,2,2
10,2015-01-01 10:00:00+01:00,274.601,268.276,276.869,280.751,275.651,71,66,71,100,73,0,0,0,0,0,1,1,1,2,2
11,2015-01-01 11:00:00+01:00,284.824,281.574,276.5056875,283.249,285.074,55,61,78,100,68,0,0,0,0,0,1,1,1,2,4
12,2015-01-01 12:00:00+01:00,284.824,281.574,280.28634375,283.249,285.074,55,61,62,100,68,0,0,0,0,0,1,1,1,2,4
13,2015-01-01 13:00:00+01:00,284.824,281.574,278.7895,283.249,285.074,55,61,73,100,68,0,0,0,0,0,1,1,1,2,4
14,2015-01-01 14:00:00+01:00,285.05065625,282.53765625,284.32934375,283.8043125,286.034,52,47,48,57,60,0,0,0,0,0,1,1,1,3,4
15,2015-01-01 15:00:00+01:00,285.27734375,283.3083125,284.5916875,284.3166875,286.994,50,45,49,58,53,0,0,0,0,0,1,1,0,4,3
16,2015-01-01 16:00:00+01:00,281.024,277.958,280.1705,283.7205,283.5615,67,68,65,62,70,0,0,4,0,0,1,1,1,4,3
17,2015-01-01 17:00:00+01:00,282.744,280.769,281.994,284.6023125,285.98565625,58,58,62,62,54,0,0,2,0,0,1,1,0,5,3
18,2015-01-01 18:00:00+01:00,279.98400000000004,277.459,279.134,284.37565625,284.01734375,68,72,73,65,63,0,0,5,0,0,1,1,0,5,3
19,2015-01-01 19:00:00+01:00,277.8761875,274.9511875,279.235,284.17621875,282.0961875,69,55,72,83,68,0,0,16,0,0,1,1,1,4,3
20,2015-01-01 20:00:00+01:00,275.0075,271.5075,275.388,283.945,280.12,81,75,87,84,78,0,0,16,0,0,1,1,1,5,2
21,2015-01-01 21:00:00+01:00,272.791,268.866,274.502,283.741,278.191,84,63,90,100,84,0,0,24,0,0,1,1,1,4,2
22,2015-01-01 22:00:00+01:00,272.791,268.866,274.839,283.741,278.191,84,63,88,100,84,0,0,4,0,0,1,1,1,4,2
23,2015-01-01 23:00:00+01:00,271.22900000000004,267.129,273.5453125,282.779,276.529,82,64,92,100,83,0,0,21,0,0,1,1,1,2,2
24,2015-01-02 00:00:00+01:00,271.22900000000004,267.129,273.47465625,282.779,276.529,82,64,92,100,83,0,0,10,0,0,1,1,2,2,2
25,2015-01-02 01:00:00+01:00,271.22900000000004,267.129,272.5025,282.779,276.529,82,64,93,100,83,0,0,16,0,0,1,1,1,2,2
26,2015-01-02 02:00:00+01:00,270.664,266.389,272.73234375,281.8640000000001,276.314,82,64,93,100,85,0,0,0,0,0,1,1,1,2,3
27,2015-01-02 03:00:00+01:00,270.664,266.389,272.06065625,281.8640000000001,276.314,82,64,93,100,85,0,0,0,0,0,1,1,1,2,3
28,2015-01-02 04:00:00+01:00,270.664,266.389,272.093,281.8640000000001,276.314,82,64,94,100,85,0,0,10,0,0,1,1,1,2,3
29,2015-01-02 05:00:00+01:00,270.277,265.902,271.1866875,281.452,275.827,78,62,94,100,88,0,0,6,0,0,1,1,1,1,3
